"","from","to"
"186","arrayImpute","gnm"
"187","arrayImpute","nlme"
"188","arrayMissPattern","RGtk2"
"189","arrayMissPattern","cairoDevice"
"190","arrayMissPattern","spatstat"
"191","ars","R"
"192","arules","Matrix"
"193","arulesNBMiner","arules"
"194","arulesNBMiner","rJava"
"195","arulesSequences","arules"
"196","arulesViz","arules"
"197","arulesViz","MASS"
"198","arulesViz","scatterplot3d"
"199","arulesViz","vcd"
"200","arulesViz","seriation"
"201","asbio","plotrix"
"202","asbio","vegan"
"203","asbio","MASS"
"204","ascii","proto"
"205","ascii","utils"
"206","asd","mvtnorm"
"207","aspace","adehabitat"
"208","aspace","ade4"
"209","aspace","gpclib"
"210","aspace","sp"
"211","aspace","maptools"
"212","aspace","splancs"
"213","aspace","Hmisc"
"214","assist","nlme"
"215","aster","trust"
"216","aster2","R"
"217","asympTest","R"
"218","asypow","R"
"219","asypow","stats"
"220","atmi","TTR"
"221","audio","R"
"222","automap","sp"
"223","automap","gstat"
"224","aws","R"
"225","aws","methods"
"226","aylmer","methods"
"227","aylmer","Brobdingnag"
"228","aylmer","partitions"
"229","B2Z","numDeriv"
"230","B2Z","coda"
"231","B2Z","mvtnorm"
"232","BACCO","emulator"
"233","BACCO","calibrator"
"234","BACCO","approximator"
"235","BAMD","coda"
"236","BARD","digest"
"237","BAS","R"
"238","BAS","stats"
"239","BAYSTAR","mvtnorm"
"240","BB","quadprog"
"241","BCA","car"
"242","BCA","clv"
"243","BCA","cluster"
"244","BCA","class"
"245","BCA","rpart"
"246","BCA","nnet"
"247","BCA","rgl"
"248","BCA","Rcmdr"
"249","BCE","limSolve"
"250","BHH2","R"
"251","BLCOP","methods"
"252","BLCOP","MASS"
"253","BLCOP","quadprog"
"254","BLR","SuppDists"
"255","BMA","survival"
"256","BMA","leaps"
"257","BMN","R"
"258","BMS","R"
"259","BMS","methods"
"260","BPHO","R"
"261","BSDA","e1071"
"262","BSagri","mvtnorm"
"263","BSagri","multcomp"
"264","BSagri","gamlss"
"265","BSagri","mratios"
"266","BSagri","MCPAN"
"267","BSagri","pairwiseCI"
"268","BSagri","lattice"
"269","BSagri","geepack"
"270","BSagri","boot"
"271","BTSPAS","R2WinBUGS"
"272","BTSPAS","coda"
"273","BTSPAS","splines"
"274","BTSPAS","actuar"
"275","BTSPAS","BRugs"
"276","BaBooN","MASS"
"277","BaBooN","nnet"
"278","BaM","bayesm"
"279","BaM","coda"
"280","BaM","MASS"
"281","BaM","stats"
"282","BaM","mice"
"283","BaM","survival"
"284","BaM","foreign"
"285","BaM","nnet"
"286","BayHap","boa"
"287","BayHaz","R"
"288","BayHaz","splines"
"289","BayesDA","stats"
"290","BayesDA","R"
"291","BayesQTLBIC","leaps"
"292","BayesTree","nnet"
"293","BayesValidate","R"
"294","BayesX","akima"
"295","BayesX","shapefiles"
"296","Bchron","hdrcde"
"297","Bchron","coda"
"298","Bchron","svDialogs"
"299","Benchmarking","lpSolveAPI"
"300","Benchmarking","ucminf"
"301","Bergm","network"
"302","Bergm","ergm"
"303","Bergm","coda"
"304","Bergm","KernSmooth"
"305","Bessel","Rmpfr"
"306","BioIDMapper","RCurl"
"307","BioIDMapper","XML"
"308","BioMark","MASS"
"309","BioMark","pls"
"310","BioMark","st"
"311","BioPhysConnectoR","snow"
"312","BioPhysConnectoR","matrixcalc"
"313","BioStatR","R"
"314","BiodiversityR","vegan"
"315","Biograph","Epi"
"316","Biograph","msm"
"317","Biograph","mvna"
"318","Biograph","survival"
"319","BiplotGUI","deldir"
"320","BiplotGUI","rgl"
"321","BiplotGUI","tcltk"
"322","BiplotGUI","tcltk2"
"323","BiplotGUI","tkrplot"
"324","Bmix","mvtnorm"
"325","BootPR","zoo"
"326","BootPR","combinat"
"327","Boruta","randomForest"
"328","BradleyTerry","R"
"329","BradleyTerry2","R"
"330","Brobdingnag","R"
"331","Brobdingnag","methods"
"332","Brobdingnag","graphics"
"333","BsMD","R"
"334","backfitRichards","richards"
"335","backfitRichards","methods"
"336","backtest","lattice"
"337","baseline","methods"
"338","basicspace","R"
"339","bayesDem","cairoDevice"
"340","bayesDem","gWidgets"
"341","bayesDem","gWidgetsRGtk2"
"342","bayesDem","RGtk2"
"343","bayesDem","bayesTFR"
"344","bayesDem","bayesLife"
"345","bayesGARCH","mvtnorm"
"346","bayesGARCH","coda"
"347","bayesLife","bayesTFR"
"348","bayesSurv","survival"
"349","bayesSurv","coda"
"350","bayesSurv","smoothSurv"
"351","bayesTFR","mvtnorm"
"352","bayesTFR","coda"
"353","bayescount","runjags"
"354","bayescount","coda"
"355","bayescount","lattice"
"356","bayescount","stats"
"357","bayescount","utils"
"358","bayesm","R"
"359","bayesmix","rjags"
"360","bayesmix","coda"
"361","bbemkr","R"
"362","bbmle","numDeriv"
"363","bbmle","lattice"
"364","bbmle","MASS"
"365","bclust","R"
"366","bcp","methods"
"367","bcp","stats"
"368","bcp","graphics"
"369","bcp","foreach"
"370","bdsmatrix","methods"
"371","bdsmatrix","R"
"372","beadarrayMSV","methods"
"373","bear","reshape"
"374","bear","nlme"
"375","bear","sciplot"
"376","bear","plotrix"
"377","bear","ICSNP"
"378","bear","gdata"
"379","belief","methods"
"380","benchmark","utils"
"381","benchmark","proto"
"382","benchmark","ggplot2"
"383","benchmark","reshape"
"384","benchmark","relations"
"385","bestglm","leaps"
"386","betaper","vegan"
"387","betaper","ellipse"
"388","betareg","Formula"
"389","bethel","R"
"390","bfast","strucchange"
"391","bfast","MASS"
"392","bfast","forecast"
"393","bfp","R"
"394","bgmm","mvtnorm"
"395","bgmm","car"
"396","bgmm","lattice"
"397","bgmm","combinat"
"398","biGraph","igraph"
"399","biGraph","gmp"
"400","biGraph","sets"
"401","biGraph","MASS"
"402","biOpsGUI","RGtk2"
"403","biOpsGUI","biOps"
"404","biclust","MASS"
"405","biclust","grid"
"406","biclust","colorspace"
"407","biclust","lattice"
"408","bifactorial","mvtnorm"
"409","bifactorial","multcomp"
"410","bifactorial","lattice"
"411","bifactorial","graphics"
"412","bifactorial","methods"
"413","bifactorial","Rcpp"
"414","biganalytics","methods"
"415","biganalytics","stats"
"416","biganalytics","utils"
"417","biganalytics","bigmemory"
"418","biglars","ff"
"419","biglm","DBI"
"420","biglm","methods"
"421","bigmemory","methods"
"422","bigmemory","utils"
"423","bigtabulate","methods"
"424","bigtabulate","bigmemory"
"425","bild","R"
"426","bild","methods"
"427","bild","stats"
"428","bild","graphics"
"429","bild","utils"
"430","binMto","mvtnorm"
"431","bindata","e1071"
"432","bindata","mvtnorm"
"433","binhf","wavethresh"
"434","binhf","adlift"
"435","binom","lattice"
"436","binomSamSize","binom"
"437","bio.infer","R"
"438","bio.infer","tcltk"
"439","bipartite","MASS"
"440","bipartite","methods"
"441","bipartite","tnet"
"442","bipartite","vegan"
"443","bise","R"
"444","bisoreg","bootstrap"
"445","bisoreg","monreg"
"446","bisoreg","R2WinBUGS"
"447","bisoreg","coda"
"448","bit","R"
"449","biwt","rrcov"
"450","biwt","MASS"
"451","blender","vegan"
"452","blighty","utils"
"453","blockTools","MASS"
"454","blockTools","gtools"
"455","blockTools","nbpMatching"
"456","blockTools","xtable"
"457","bmd","drc"
"458","bnlearn","R"
"459","bnlearn","utils"
"460","boa","R"
"461","boolean","Zelig"
"462","boolfun","R.oo"
"463","boot","R"
"464","boot","graphics"
"465","boot","stats"
"466","bootRes","base"
"467","bootRes","stats"
"468","bootRes","utils"
"469","bootStepAIC","MASS"
"470","bootspecdens","MASS"
"471","bootstrap","stats"
"472","bootstrap","R"
"473","bpca","scatterplot3d"
"474","bpca","rgl"
"475","bpca","MASS"
"476","bqtl","R"
"477","brainwaver","waveslim"
"478","brglm","profileModel"
"479","bs","nlme"
"480","bs","methods"
"481","bvpSolve","rootSolve"
"482","bvpSolve","deSolve"
"483","CADFtest","dynlm"
"484","CADFtest","sandwich"
"485","CADFtest","tseries"
"486","CADFtest","urca"
"487","CADStat","JGR"
"488","CADStat","XML"
"489","CADStat","lattice"
"490","CADStat","bio.infer"
"491","CADStat","gdata"
"492","CADStat","gmodels"
"493","CADStat","car"
"494","CADStat","MASS"
"495","CADStat","quantreg"
"496","CADStat","rpart"
"497","CADStat","rJava"
"498","CAVIAR","R"
"499","CCA","fda"
"500","CCA","fields"
"501","CCMtools","mclust"
"502","CCMtools","class"
"503","CCMtools","tree"
"504","CCMtools","mvtnorm"
"505","CDFt","R"
"506","CDNmoney","R"
"507","CGene","survival"
"508","CHNOSZ","R"
"509","CHNOSZ","utils"
"510","CITAN","ADGofTest"
"511","CNVassoc","mixdist"
"512","CNVassoc","mclust"
"513","CNVassoc","survival"
"514","COP","dr"
"515","COP","MASS"
"516","COSINE","MASS"
"517","COSINE","genalg"
"518","COUNT","MASS"
"519","COZIGAM","mgcv"
"520","CPE","survival"
"521","CPE","Design"
"522","CRTSize","R"
"523","CVThresh","wavethresh"
"524","CVThresh","EbayesThresh"
"525","Cairo","R"
"526","CalciOMatic","cobs"
"527","CarbonEL","R"
"528","CarbonEL","grDevices"
"529","CausalGAM","gam"
"530","CellularAutomaton","R.oo"
"531","ChainLadder","Hmisc"
"532","ChainLadder","lattice"
"533","ChainLadder","Matrix"
"534","ChainLadder","methods"
"535","ChainLadder","stats"
"536","ChainLadder","systemfit"
"537","ChainLadder","MASS"
"538","ChainLadder","RUnit"
"539","ChemometricsWithR","ChemometricsWithRData"
"540","ChemometricsWithR","MASS"
"541","ChemometricsWithR","nnet"
"542","ChemometricsWithR","randomForest"
"543","ChemometricsWithR","ada"
"544","ChemometricsWithR","rrcov"
"545","ChemometricsWithR","sfsmisc"
"546","ChemometricsWithR","ipred"
"547","ChemometricsWithR","fastICA"
"548","ChemometricsWithR","rda"
"549","ChemometricsWithR","TIMP"
"550","ChemometricsWithR","class"
"551","ChemometricsWithR","e1071"
"552","ChemometricsWithR","rpart"
"553","ChemometricsWithR","cluster"
"554","ChemometricsWithR","msProstate"
"555","ChemometricsWithR","ALS"
"556","ChemometricsWithR","ptw"
"557","ChemometricsWithR","dtw"
"558","ChemometricsWithR","boot"
"559","ChemometricsWithR","leaps"
"560","ChemometricsWithR","lars"
"561","ChemometricsWithR","elasticnet"
"562","ChemometricsWithR","subselect"
"563","ChemometricsWithR","kohonen"
"564","ChemometricsWithR","pls"
"565","ChemometricsWithR","signal"
"566","ChemometricsWithR","mclust"
"567","ChemometricsWithRData","R"
"568","CircNNTSR","stats"
"569","CircSpatial","fields"
"570","CircSpatial","CircStats"
"571","CircSpatial","geoR"
"572","CircSpatial","RandomFields"
"573","CircSpatial","spam"
"574","CircSpatial","MASS"
"575","CircSpatial","sp"
"576","CircSpatial","tcltk"
"577","CircStats","MASS"
"578","CircStats","boot"
"579","Ckmeans.1d.dp","R"
"580","ClinicalRobustPriors","R"
"581","ClustOfVar","missMDA"
"582","ClustOfVar","FactoMineR"
"583","CoCo","R"
"584","CoCo","methods"
"585","CoCoCg","CoCo"
"586","CoCoGraph","dynamicGraph"
"587","CoCoGraph","MASS"
"588","CoCoGraph","methods"
"589","CoCoGraph","CoCo"
"590","CollocInfer","fda"
"591","CollocInfer","MASS"
"592","CollocInfer","odesolve"
"593","CollocInfer","Matrix"
"594","CollocInfer","SparseM"
"595","CombMSC","R"
"596","CompRandFld","R"
"597","ConvergenceConcepts","tkrplot"
"598","ConvergenceConcepts","lattice"
"599","CorrBin","boot"
"600","CoxBoost","survival"
"601","CoxBoost","Matrix"
"602","Cprob","prodlim"
"603","Cprob","tpr"
"604","Cprob","lattice"
"605","Cprob","geepack"
"606","CreditMetrics","R"
"607","c3net","igraph"
"608","ca","rgl"
"609","caGUI","rgl"
"610","caGUI","ca"
"611","caGUI","tcltk2"
"612","caGUI","RODBC"
"613","caMassClass","e1071"
"614","caMassClass","nnet"
"615","caMassClass","rpart"
"616","caMassClass","caTools"
"617","caMassClass","XML"
"618","caMassClass","digest"
"619","caMassClass","MASS"
"620","caTools","bitops"
"621","cacheSweave","filehash"
"622","cacheSweave","stashR"
"623","cacher","R"
"624","cairoDevice","R"
"625","calib","nlme"
"626","calib","methods"
"627","calibrate","R"
"628","calibrator","emulator"
"629","calibrator","cubature"
"630","candisc","car"
"631","candisc","heplots"
"632","candisc","graphics"
"633","candisc","stats"
"634","canvas","R"
"635","car","MASS"
"636","car","nnet"
"637","car","survival"
"638","care","corpcor"
"639","caret","lattice"
"640","caret","reshape"
"641","caret","stats"
"642","caret","plyr"
"643","caroline","R"
"644","caschrono","forecast"
"645","caschrono","Hmisc"
"646","caschrono","its"
"647","caschrono","timeSeries"
"648","caspar","mvtnorm"
"649","catR","sfsmisc"
"650","catnet","R"
"651","catnet","methods"
"652","cba","proxy"
"653","cccd","deldir"
"654","cccd","igraph"
"655","cccd","plotrix"
"656","ccems","odesolve"
"657","ccems","snow"
"658","ccems","PolynomF"
"659","ccgarch","R"
"660","cclust","stats"
"661","cellVolumeDist","minpack.lm"
"662","cellVolumeDist","gplots"
"663","cem","nlme"
"664","cem","lattice"
"665","cem","randomForest"
"666","cem","tcltk"
"667","censReg","maxLik"
"668","cfa","R"
"669","cg","Hmisc"
"670","cg","base"
"671","cg","utils"
"672","cg","methods"
"673","cg","stats"
"674","cg","graphics"
"675","cg","grid"
"676","cg","lattice"
"677","cg","MASS"
"678","cg","survival"
"679","cg","multcomp"
"680","cg","nlme"
"681","cgdsr","R.oo"
"682","cggd","R"
"683","cggd","grDevices"
"684","cggd","graphics"
"685","cggd","stats"
"686","cggd","utils"
"687","cgh","R"
"688","changeLOS","survival"
"689","changepoint","R"
"690","changepoint","methods"
"691","changepoint","graphics"
"692","changepoint","base"
"693","charlson","plyr"
"694","charlson","reshape"
"695","chemometrics","class"
"696","chemometrics","e1071"
"697","chemometrics","gclus"
"698","chemometrics","lars"
"699","chemometrics","MASS"
"700","chemometrics","mclust"
"701","chemometrics","nnet"
"702","chemometrics","pcaPP"
"703","chemometrics","pls"
"704","chemometrics","rpart"
"705","chemometrics","robustbase"
"706","chemometrics","som"
"707","cherry","methods"
"708","cherry","bitops"
"709","choplump","R"
"710","choplump","stats"
"711","chplot","ellipse"
"712","chplot","KernSmooth"
"713","chplot","lattice"
"714","chron","R"
"715","cimis","XML"
"716","cimis","RCurl"
"717","circular","boot"
"718","clValid","cluster"
"719","clValid","class"
"720","class","R"
"721","class","stats"
"722","class","utils"
"723","classGraph","methods"
"724","classGraph","graph"
"725","classInt","class"
"726","classInt","e1071"
"727","classifly","rpart"
"728","classifly","MASS"
"729","classifly","nnet"
"730","classifly","class"
"731","classifly","e1071"
"732","classifly","reshape"
"733","clim.pact","ncdf"
"734","clim.pact","akima"
"735","clim.pact","R"
"736","clime","lpSolve"
"737","clinfun","R"
"738","clinfun","graphics"
"739","clinfun","stats"
"740","clue","R"
"741","clues","R"
"742","clues","stats"
"743","clues","utils"
"744","clustTool","mvoutlier"
"745","clustTool","cluster"
"746","clustTool","randomForest"
"747","clustTool","tcltk"
"748","clustTool","e1071"
"749","clustTool","rpart"
"750","clustTool","class"
"751","clustTool","grid"
"752","clustTool","mclust"
"753","clustTool","flexclust"
"754","clustTool","vegan"
"755","clustTool","clue"
"756","clustTool","mvpart"
"757","clustTool","lattice"
"758","clustTool","kernlab"
"759","clustTool","compositions"
"760","cluster","R"
"761","cluster","stats"
"762","cluster","graphics"
"763","cluster","utils"
"764","clusterCons","methods"
"765","clusterCons","cluster"
"766","clusterCons","lattice"
"767","clusterCons","RColorBrewer"
"768","clusterCons","grid"
"769","clusterCons","apcluster"
"770","clusterGeneration","MASS"
"771","clusterRepro","R"
"772","clusterSim","ade4"
"773","clusterSim","cluster"
"774","clusterSim","R2HTML"
"775","clusterSim","e1071"
"776","clusterSim","rgl"
"777","clusterSim","MASS"
"778","clusterfly","ggplot2"
"779","clusterfly","reshape"
"780","clusterfly","rggobi"
"781","clustsig","R"
"782","clustvarsel","mclust"
"783","clv","cluster"
"784","clv","class"
"785","cmaes","R"
"786","cmprsk","survival"
"787","cmrutils","chron"
"788","cncaGUI","rgl"
"789","cncaGUI","tcltk"
"790","cncaGUI","tkrplot"
"791","cncaGUI","RODBC"
"792","coarseDataTools","survival"
"793","cobs","SparseM"
"794","cobs","quantreg"
"795","cobs","splines"
"796","cobs","grDevices"
"797","cobs","graphics"
"798","cobs","stats"
"799","cobs","utils"
"800","cocorresp","stats"
"801","cocorresp","graphics"
"802","cocorresp","vegan"
"803","coda","lattice"
"804","codep","R"
"805","codep","stats"
"806","codetools","R"
"807","coenoflex","mgcv"
"808","coin","survival"
"809","coin","mvtnorm"
"810","coin","modeltools"
"811","colbycol","rJava"
"812","colorspace","R"
"813","colorspace","methods"
"814","compareGroups","xtable"
"815","compareGroups","Hmisc"
"816","compareGroups","gdata"
"817","compareGroups","tcltk"
"818","compareGroups","foreign"
"819","compeir","grid"
"820","compeir","lattice"
"821","compeir","etm"
"822","compoisson","stats"
"823","compoisson","MASS"
"824","compositions","rgl"
"825","compositions","tensorA"
"826","compositions","robustbase"
"827","compositions","energy"
"828","compute.es","R"
"829","concor","R"
"830","cond","statmod"
"831","cond","survival"
"832","condGEE","numDeriv"
"833","condGEE","rootSolve"
"834","constrainedKriging","sp"
"835","constrainedKriging","spatialCovariance"
"836","constrainedKriging","methods"
"837","contrast","Design"
"838","convexHaz","R"
"839","copBasic","lmomco"
"840","copas","meta"
"841","copula","methods"
"842","copula","mvtnorm"
"843","copula","scatterplot3d"
"844","copula","sn"
"845","copula","pspline"
"846","corpcor","R"
"847","corpora","R"
"848","corrsieve","methods"
"849","cosso","quadprog"
"850","cosso","gss"
"851","costat","wavethresh"
"852","coxme","survival"
"853","coxme","bdsmatrix"
"854","coxme","R"
"855","coxphf","survival"
"856","coxphw","survival"
"857","coxrobust","survival"
"858","cramer","boot"
"859","crawl","mvtnorm"
"860","crmn","pls"
"861","crmn","methods"
"862","crossdes","AlgDesign"
"863","crossdes","gtools"
"864","crossdes","MASS"
"865","crosshybDetector","methods"
"866","crossmatch","nbpMatching"
"867","crrSC","survival"
"868","cshapes","sp"
"869","cshapes","maptools"
"870","cshapes","rJava"
"871","cthresh","wavethresh"
"872","ctv","R"
"873","ctv","utils"
"874","cudaBayesreg","cudaBayesregData"
"875","cudaBayesreg","oro.nifti"
"876","cudaBayesregData","R"
"877","cumSeg","lars"
"878","curvHDR","feature"
"879","curvHDR","geometry"
"880","curvHDR","hdrcde"
"881","curvHDR","ks"
"882","curvHDR","misc3d"
"883","curvHDR","ptinpoly"
"884","curvHDR","rgl"
"885","curvetest","locfit"
"886","cwhmisc","lattice"
"887","cxxPack","Rcpp"
"888","cxxPack","RUnit"
"889","cxxPack","zoo"
"890","cyclones","clim.pact"
"891","cyclones","R"
"892","DAAG","MASS"
"893","DAAG","rpart"
"894","DAAG","randomForest"
"895","DAAGxtras","R"
"896","DAGGER","Rglpk"
"897","DAKS","relations"
"898","DAKS","sets"
"899","DAMisc","effects"
"900","DAMisc","sm"
"901","DAMisc","rpanel"
"902","DBI","R"
"903","DBI","methods"
"904","DCGL","igraph"
"905","DCluster","boot"
"906","DCluster","spdep"
"907","DDHFm","R"
"908","DEMEtics","R"
"909","DMwR","xts"
"910","DMwR","quantmod"
"911","DMwR","ROCR"
"912","DMwR","class"
"913","DMwR","rpart"
"914","DMwR","abind"
"915","DMwR","cluster"
"916","DMwR","lattice"
"917","DMwR","grid"
"918","DMwR","zoo"
"919","DNAtools","Rsolnp"
"920","DOBAD","methods"
"921","DOBAD","lattice"
"922","DOBAD","numDeriv"
"923","DOSim","GOSim"
"924","DOSim","SubpathwayMiner"
"925","DOSim","dynamicTreeCut"
"926","DOSim","moduleColor"
"927","DOSim","RBGL"
"928","DOSim","graph"
"929","DPpackage","MASS"
"930","DPpackage","nlme"
"931","DRI","impute"
"932","DRI","cghFLasso"
"933","DSpat","spatstat"
"934","DSpat","RandomFields"
"935","DSpat","gpclib"
"936","DSpat","mgcv"
"937","Daim","R"
"938","DatABEL","R"
"939","DatABEL","methods"
"940","Deducer","rJava"
"941","Deducer","ggplot2"
"942","Deducer","JGR"
"943","Deducer","car"
"944","Deducer","multcomp"
"945","Deducer","effects"
"946","Deducer","foreign"
"947","DeducerExtras","Deducer"
"948","DeducerMMR","Deducer"
"949","DeducerMMR","pequod"
"950","DeducerMMR","rJava"
"951","DeducerPlugInExample","Deducer"
"952","DeducerPlugInScaling","Deducer"
"953","DeducerPlugInScaling","psych"
"954","DeducerPlugInScaling","GPArotation"
"955","DeducerPlugInScaling","mvnormtest"
"956","DeducerPlugInScaling","irr"
"957","Depela","stats"
"958","Depela","stats4"
"959","Depela","copula"
"960","Depela","R"
"961","DescribeDisplay","grid"
"962","DescribeDisplay","reshape"
"963","DescribeDisplay","ggplot2"
"964","DescribeDisplay","proto"
"965","Design","Hmisc"
"966","Design","survival"
"967","DesignPatterns","R"
"968","DesignPatterns","methods"
"969","Devore5","R"
"970","Devore6","R"
"971","Devore7","R"
"972","DiagnosisMed","epitools"
"973","DiagnosisMed","TeachingDemos"
"974","DiagnosisMed","tcltk"
"975","DiagnosisMed","AMORE"
"976","DiagnosisMed","utils"
"977","DiceEval","DiceKriging"
"978","DiceKriging","methods"
"979","DiceOptim","DiceKriging"
"980","DiceOptim","rgenoud"
"981","DiceOptim","MASS"
"982","DiceView","methods"
"983","DiceView","DiceKriging"
"984","DiceView","DiceEval"
"985","DiceView","rgl"
"986","DierckxSpline","lattice"
"987","DierckxSpline","PolynomF"
"988","DistributionUtils","R"
"989","DoE.base","relimp"
"990","DoE.base","utils"
"991","DoE.base","graphics"
"992","DoE.base","tcltk"
"993","DoE.base","vcd"
"994","DoE.wrapper","FrF2"
"995","DoE.wrapper","DoE.base"
"996","DoE.wrapper","rsm"
"997","DoE.wrapper","lhs"
"998","DoE.wrapper","DiceDesign"
"999","DoE.wrapper","AlgDesign"
"1000","DoseFinding","lattice"
"1001","DoseFinding","mvtnorm"
"1002","DoseFinding","numDeriv"
"1003","DoseFinding","R"
"1004","dae","lattice"
"1005","dae","methods"
"1006","dafs","s20x"
"1007","data.table","R"
"1008","dataframes2xls","R"
"1009","datamap","DBI"
"1010","dataview","xtermStyle"
"1011","date","graphics"
"1012","dbConnect","RMySQL"
"1013","dbConnect","gWidgets"
"1014","dblcens","R"
"1015","dcemriS4","oro.nifti"
"1016","dcemriS4","utils"
"1017","dclone","coda"
"1018","dclone","R2WinBUGS"
"1019","dclone","snow"
"1020","dcv","lmtest"
"1021","ddepn","graph"
"1022","ddepn","RBGL"
"1023","ddesolve","R"
"1024","ddst","orthopolynom"
"1025","ddst","evd"
"1026","deSolve","R"
"1027","deal","R"
"1028","debug","mvbutils"
"1029","debug","tcltk"
